sample_id,feature_path,aux_feature_path,violence,self_harm,nsfw,split,source,group_id,media_type,n_frames,feature_dim,aux_dim
rwf2000_8f39a1f87ceb,/kaggle/working/artifacts/features/temporal_train/rwf2000_8f39a1f87ceb.npy,/kaggle/working/artifacts/aux_features/temporal_train/rwf2000_8f39a1f87ceb.npy,1,0,0,train,rwf2000,rwf2000:fight,video,1,768,4
rwf2000_d241b06c415e,/kaggle/working/artifacts/features/temporal_train/rwf2000_d241b06c415e.npy,/kaggle/working/artifacts/aux_features/temporal_train/rwf2000_d241b06c415e.npy,0,0,0,train,rwf2000,rwf2000:safe,video,1,768,4
rwf2000_2fde80c5443e,/kaggle/working/artifacts/features/temporal_train/rwf2000_2fde80c5443e.npy,/kaggle/working/artifacts/aux_features/temporal_train/rwf2000_2fde80c5443e.npy,1,0,0,train,rwf2000,rwf2000:-1l5631l3fg,video,64,768,4
rwf2000_0b0e401d53a3,/kaggle/working/artifacts/features/temporal_train/rwf2000_0b0e401d53a3.npy,/kaggle/working/artifacts/aux_features/temporal_train/rwf2000_0b0e401d53a3.npy,1,0,0,train,rwf2000,rwf2000:-1l5631l3fg,video,64,768,4
rwf2000_1c158b875c07,/kaggle/working/artifacts/features/temporal_train/rwf2000_1c158b875c07.npy,/kaggle/working/artifacts/aux_features/temporal_train/rwf2000_1c158b875c07.npy,1,0,0,train,rwf2000,rwf2000:-1l5631l3fg,video,64,768,4
rwf2000_015de4571e80,/kaggle/working/artifacts/features/temporal_train/rwf2000_015de4571e80.npy,/kaggle/working/artifacts/aux_features/temporal_train/rwf2000_015de4571e80.npy,1,0,0,train,rwf2000,rwf2000:0h2s9ujcnj0,video,64,768,4
rwf2000_dafa2057d82a,/kaggle/working/artifacts/features/temporal_train/rwf2000_dafa2057d82a.npy,/kaggle/working/artifacts/aux_features/temporal_train/rwf2000_dafa2057d82a.npy,1,0,0,train,rwf2000,rwf2000:0h2s9ujcnj0,video,64,768,4
rwf2000_52456308dabc,/kaggle/working/artifacts/features/temporal_train/rwf2000_52456308dabc.npy,/kaggle/working/artifacts/aux_features/temporal_train/rwf2000_52456308dabc.npy,1,0,0,train,rwf2000,rwf2000:0h2s9ujcnj0,video,64,768,4
rwf2000_d5836b134e56,/kaggle/working/artifacts/features/temporal_train/rwf2000_d5836b134e56.npy,/kaggle/working/artifacts/aux_features/temporal_train/rwf2000_d5836b134e56.npy,1,0,0,train,rwf2000,rwf2000:0h2s9ujcnj0,video,64,768,4
rwf2000_7d430c0decbb,/kaggle/working/artifacts/features/temporal_train/rwf2000_7d430c0decbb.npy,/kaggle/working/artifacts/aux_features/temporal_train/rwf2000_7d430c0decbb.npy,1,0,0,train,rwf2000,rwf2000:0h2s9ujcnj0,video,64,768,4
rwf2000_771cd54992d7,/kaggle/working/artifacts/features/temporal_train/rwf2000_771cd54992d7.npy,/kaggle/working/artifacts/aux_features/temporal_train/rwf2000_771cd54992d7.npy,1,0,0,train,rwf2000,rwf2000:0nwz-01a2yk,video,64,768,4
rwf2000_89e6de76f5a6,/kaggle/working/artifacts/features/temporal_train/rwf2000_89e6de76f5a6.npy,/kaggle/working/artifacts/aux_features/temporal_train/rwf2000_89e6de76f5a6.npy,1,0,0,train,rwf2000,rwf2000:0nwz-01a2yk,video,64,768,4
rwf2000_77d717547fac,/kaggle/working/artifacts/features/temporal_train/rwf2000_77d717547fac.npy,/kaggle/working/artifacts/aux_features/temporal_train/rwf2000_77d717547fac.npy,1,0,0,train,rwf2000,rwf2000:0_dzllklza0,video,64,768,4
rwf2000_ebd9feb29a15,/kaggle/working/artifacts/features/temporal_train/rwf2000_ebd9feb29a15.npy,/kaggle/working/artifacts/aux_features/temporal_train/rwf2000_ebd9feb29a15.npy,1,0,0,train,rwf2000,rwf2000:0_dzllklza0,video,64,768,4
rwf2000_68ec3edf8dc8,/kaggle/working/artifacts/features/temporal_train/rwf2000_68ec3edf8dc8.npy,/kaggle/working/artifacts/aux_features/temporal_train/rwf2000_68ec3edf8dc8.npy,1,0,0,train,rwf2000,rwf2000:0_dzllklza0,video,64,768,4
rwf2000_f675fb10eea4,/kaggle/working/artifacts/features/temporal_train/rwf2000_f675fb10eea4.npy,/kaggle/working/artifacts/aux_features/temporal_train/rwf2000_f675fb10eea4.npy,1,0,0,train,rwf2000,rwf2000:0_dzllklza0,video,64,768,4
rwf2000_f9b10e9c0344,/kaggle/working/artifacts/features/temporal_train/rwf2000_f9b10e9c0344.npy,/kaggle/working/artifacts/aux_features/temporal_train/rwf2000_f9b10e9c0344.npy,1,0,0,train,rwf2000,rwf2000:0vasozvjyvk,video,64,768,4
